4.986211388423109625e-01 4.987320020509693475e-01 4.988497782705099692e-01 4.986763870216628924e-01 4.986625271999002296e-01
4.986211388423109625e-01 4.987458599520516733e-01 4.986141906873614027e-01 4.986625271999002296e-01 4.986625271999002296e-01
4.987458599520516733e-01 4.987458599520516733e-01 4.986141906873614027e-01 4.986763870216628924e-01 4.986763870216628924e-01
4.986211388423109625e-01 4.987458599520516733e-01 4.987389135254988726e-01 4.987872655957644175e-01 4.986625271999002296e-01
4.986211388423109625e-01 4.987458599520516733e-01 4.986141906873614027e-01 4.988011254175271358e-01 4.986763870216628924e-01
4.987458599520516733e-01 4.986211388423109625e-01 4.986141906873614027e-01 4.986625271999002296e-01 4.986625271999002296e-01
4.986211388423109625e-01 4.987458599520516733e-01 4.986141906873614027e-01 4.989258638133913792e-01 4.986625271999002296e-01
4.987458599520516733e-01 4.986072809412286366e-01 4.986003325942350295e-01 4.986763870216628924e-01 4.990506022092555671e-01
4.988567231607100583e-01 4.987458599520516733e-01 4.986141906873614027e-01 4.988011254175271358e-01 4.986763870216628924e-01
4.987458599520516733e-01 4.986211388423109625e-01 4.986141906873614027e-01 4.988011254175271358e-01 4.986625271999002296e-01
